TEO,FWC,FWE,TCA,TO_sump,TO_feed,PO_feed,VC,VE,TWI,Y
40.36,265.5,214.9,7,109.4,106.3,159.3,57,56,60.32,1
46.5,266,215.2,5.2,117.1,112.4,158.8,57,56,55.57,1
51.99,267.4,214,2.4,118.5,112.2,164.2,49,56,58.1,1
44.25,268.1,216,5.6,110.1,107.1,156.3,57,56,54.75,1
51.41,266.4,214.5,5.6,120.7,115.3,160.8,57,56,57.98,1
45.31,269,215.3,2.4,115.7,109.8,161.8,49,56,55.48,1
43.39,265,214.3,4.9,109.8,106.9,157.8,56,56,60.56,1
41.5,264.9,215.9,6.6,110.7,107.3,158.3,57,56,60.27,1
40.19,267.9,214.9,5.8,108.4,105.9,155.8,57,56,60.64,1
50.39,266.9,214.9,1.7,120.7,114.7,159.8,47,56,58.02,1
45.15,270.1,214.8,3.8,109.4,106.5,155.3,49,56,54.99,1
50.76,268,215.8,2.6,120.7,113.8,163.8,49,56,58.1,1
50.43,265,215.4,3.5,111.6,108.2,155.8,56,56,55.93,1
45.64,266.4,214.3,1.9,117.4,112,157.8,48,56,55.4,1
39.78,266.2,213,3.8,108,104.9,157.8,48,56,60.32,1
44.9,268.5,215.9,4.4,111.6,107.1,158.8,48,56,55.12,1
46.17,272.5,215.3,5.9,113.3,109.6,159.8,50.42,56,55.32,1
45.8,268,215.5,4.5,114,109.2,161.3,49,56,55.48,1
45.07,267.2,215.5,4.2,111.3,107.3,160.8,48,56,55.12,1
45.39,266.9,215.3,2.1,112.2,107.5,157.8,48,56,55.12,1
40.52,266.2,214.3,5.4,111.8,107.5,163.8,49,56,59.66,1
40.28,269.2,214,1.7,110.9,106.3,156.3,48,56,60.32,1
52.64,268.3,215.4,2.5,117.8,111.6,163.8,49,56,58.06,1
45.31,267.7,214.4,2.3,118.8,111.8,159.3,49,56,55.73,1
39.87,268.1,215.3,2.7,107.7,104.7,129.2,47,56,60.6,1
41.38,266,214.7,3.4,110.9,107.1,150.9,50.48,56,60.52,1
50.39,267.7,215.9,3.5,111.6,108,157.3,56,56,55.73,1
50.84,263.5,214,6.4,119.9,114.7,160.8,57,56,58.02,1
44.94,269.4,215.5,2.1,116,109.8,162.3,49,56,55.52,1
39.66,266.8,215.1,4,108.2,105.3,157.8,48,56,60.32,1
41.87,264.9,215.4,4.4,113.1,109.6,127,53.79,56,56.38,2
41.05,269.7,215.7,2,117.6,112.2,130.5,49,56,60.64,2
50.43,264.1,214.6,5.7,118.3,114,134.5,57,56,59.25,2
41.71,267.5,213.9,5.4,114.5,111.1,129,57,56,60.6,2
39.82,267.7,215.2,3.7,111.3,107.7,129.5,48,56,60.6,2
44.78,267,215.3,3.5,115.1,110.9,132,48,56,59.05,2
45.35,267.5,214.1,1.7,116.2,111.1,131,48,56,59.33,2
47.97,274.1,216.1,4.4,116.4,111.8,129.5,54.1,56,55.57,2
