TEO,FWC,FWE,TCA,TO_sump,TO_feed,PO_feed,VC,VE,TWI,Y
44.25,268.1,216,5.6,110.1,107.1,156.3,57,56,54.75,1
50.43,265,215.4,3.5,111.6,108.2,155.8,56,56,55.93,1
50.39,267.7,215.9,3.5,111.6,108,157.3,56,56,55.73,1
45.8,268,215.5,4.5,114,109.2,161.3,49,56,55.48,1
40.52,266.2,214.3,5.4,111.8,107.5,163.8,49,56,59.66,1
45.35,267.5,214.1,1.7,116.2,111.1,131,48,56,59.33,2
40.56,270.2,213.3,2.5,115.7,111.8,125.6,48.83,56,60.56,2
44.86,267.8,214.5,5.2,114.5,111.1,132,57,56,59.82,2
50.35,266.5,215.9,1.5,122,115.7,130,47,56,56.75,2
50.72,265.2,215.7,4.5,117.4,113.1,135,47.31,56,58.68,2
49.41,269.3,215.3,7.3,117.8,112,150.9,49,56,58.92,3
46.38,267.9,214.4,8.3,113.1,108.6,149.9,48,56,59.74,3
41.75,267.2,214.3,7,112,108.4,146.9,49,56,59.62,3
49.2,268.2,216.2,7.3,117.6,112,152.8,49,56,58.96,3
46.95,265.1,213.7,9.4,118.3,112.7,147.9,49.78,56,59.74,3
40.32,248.7,215.1,4.2,108.6,106.7,132,43,56,59.41,4
50.02,241.7,215.8,3.6,115.3,111.1,141.4,42,56,59.54,4
49.28,243.8,216.2,5.5,116.9,113.8,138.5,46,56,59.21,4
40.52,239.9,214.3,3.8,113.3,109.2,139,42,56,60.23,4
44.9,243.2,214.8,1.7,118.1,113.1,136.5,42,56,59.91,4
49.9,270,196.2,2,114,109.8,130,47,42,55.48,5
44.12,270.4,193.5,4.2,109.2,106.9,133,51,42,59.33,5
40.03,267,195.1,3.1,112,109,139,49,42,59.82,5
39.99,267.8,195.4,3.9,108,105.7,132,48,42,59.91,5
49.94,269.8,195.2,2.5,112.4,109.2,131.5,47,42,55.44,5
51.37,270,215.4,2.6,118.8,113.1,138.5,49,56,55.57,6
45.39,269.7,214.6,2,118.5,113.6,133.5,48,56,58.51,6
50.47,267.6,216.1,3.9,114.5,110.3,138.5,47,56,55.03,6
45.19,270,214.4,2.3,117.8,112,137,49,56,58.19,6
41.99,267.3,214.6,4.8,108.8,106.3,132.5,48,56,59.54,6
50.84,271.7,215.4,5.2,123.2,116.4,138,49,56,60.03,7
41.38,270.5,216.8,4.7,113.3,108.8,135,49,56,60.56,7
41.87,272.3,215.5,5.1,116.2,110.7,133,49,56,60.85,7
45.39,269,214.8,3,119.9,113.6,136.5,49,56,59.78,7
40.07,268.4,215.2,3,108.2,105.3,127,47,56,58.27,7
45.19,271,215.6,2.2,119.5,114,139,49,56,56.1,8
50.47,264.6,216.6,5.6,115.6,110.7,143.4,49,56,55.81,8
50.68,266.2,214.1,2.4,116.2,111.3,135,47,56,55.52,8
45.56,268.7,214.5,3.3,116,111.6,140.9,49,56,55.65,8
50.27,267.8,215.2,4.7,113.8,110.9,137,56,56,55.07,8
