TEO,FWC,FWE,TCA,TO_sump,TO_feed,PO_feed,VC,VE,TWI,Y
46.17,272.5,215.3,5.9,113.3,109.6,159.8,50.42,56,55.32,1
50.43,265,215.4,3.5,111.6,108.2,155.8,56,56,55.93,1
45.15,270.1,214.8,3.8,109.4,106.5,155.3,49,56,54.99,1
39.87,268.1,215.3,2.7,107.7,104.7,129.2,47,56,60.6,1
39.66,266.8,215.1,4,108.2,105.3,157.8,48,56,60.32,1
45.8,268,215.5,4.5,114,109.2,161.3,49,56,55.48,1
50.39,267.7,215.9,3.5,111.6,108,157.3,56,56,55.73,1
45.31,269,215.3,2.4,115.7,109.8,161.8,49,56,55.48,1
44.25,268.1,216,5.6,110.1,107.1,156.3,57,56,54.75,1
40.52,266.2,214.3,5.4,111.8,107.5,163.8,49,56,59.66,1
50.59,267.8,215.2,2.1,122.5,116,136,49,56,58.55,2
50.35,266.5,215.9,1.5,122,115.7,130,47,56,56.75,2
51.04,266.9,215.7,5.9,119.5,114,139.4,49,56,58.43,2
41.05,269.7,215.7,2,117.6,112.2,130.5,49,56,60.64,2
40.56,270.2,213.3,2.5,115.7,111.8,125.6,48.83,56,60.56,2
50.02,267.6,215.1,1.8,119.7,114,131,47,56,56.79,2
44.86,267.8,214.5,5.2,114.5,111.1,132,57,56,59.82,2
45.35,267.5,214.1,1.7,116.2,111.1,131,48,56,59.33,2
50.72,265.2,215.7,4.5,117.4,113.1,135,47.31,56,58.68,2
41.71,267.5,213.9,5.4,114.5,111.1,129,57,56,60.6,2
40.4,269,214.9,4.6,114.5,108.4,144.4,49,56,59.78,3
50.92,265.1,215.5,10.6,117.4,112.9,149.9,57,56,58.92,3
49.2,268.2,216.2,7.3,117.6,112,152.8,49,56,58.96,3
46.95,265.1,213.7,9.4,118.3,112.7,147.9,49.78,56,59.74,3
46.38,267.9,214.4,8.3,113.1,108.6,149.9,48,56,59.74,3
49.94,272.6,214.6,8.9,111.6,108.4,144.9,56,56,59,3
41.75,267.2,214.3,7,112,108.4,146.9,49,56,59.62,3
39.99,268.6,214.1,6.5,109.4,105.5,141.9,47,56,60.23,3
45.07,266.7,214.5,8.3,112.9,108.2,146.9,48,56,59.66,3
49.41,269.3,215.3,7.3,117.8,112,150.9,49,56,58.92,3
49.28,243.8,216.2,5.5,116.9,113.8,138.5,46,56,59.21,4
40.32,248.7,215.1,4.2,108.6,106.7,132,43,56,59.41,4
40.44,239,215.2,4.4,112.9,109.4,142.9,42,56,60.19,4
45.07,236.8,214.8,6.3,115.6,111.8,141.4,43,56,59.5,4
40.52,239.9,214.3,3.8,113.3,109.2,139,42,56,60.23,4
39.87,239.6,214.9,2.5,113.3,109,138,42,56,60.48,4
44.9,243.2,214.8,1.7,118.1,113.1,136.5,42,56,59.91,4
39.99,243,215.4,5.4,109,107.3,137,46,56,59.58,4
45.15,244.2,216.3,6.1,113.6,110.7,138.5,45.25,56,59.7,4
50.02,241.7,215.8,3.6,115.3,111.1,141.4,42,56,59.54,4
39.99,267.8,195.4,3.9,108,105.7,132,48,42,59.91,5
39.99,267.8,195.3,6.4,110.7,108,136.5,57,42,60.19,5
40.03,267,195.1,3.1,112,109,139,49,42,59.82,5
40.23,268.7,195,1.9,111.3,108,134,48,42,60.11,5
49.9,270,196.2,2,114,109.8,130,47,42,55.48,5
45.07,269.6,194.9,3.6,109.2,106.9,132.5,47.34,42,59.37,5
49.94,269.8,195.2,2.5,112.4,109.2,131.5,47,42,55.44,5
39.91,267.8,194.9,5.6,110.7,108.6,136.5,57,42,59.95,5
44.12,270.4,193.5,4.2,109.2,106.9,133,51,42,59.33,5
49.98,266.9,195.7,3.8,113.8,110.7,139.9,47,42,55.57,5
45.19,270,214.4,2.3,117.8,112,137,49,56,58.19,6
39.66,270.4,216.1,3.7,109.6,106.7,131,48,56,59.62,6
45.39,269.7,214.6,2,118.5,113.6,133.5,48,56,58.51,6
51.37,270,215.4,2.6,118.8,113.1,138.5,49,56,55.57,6
49.86,269.4,216.3,4.4,112.4,109.2,131,56,56,54.75,6
50.47,267.6,216.1,3.9,114.5,110.3,138.5,47,56,55.03,6
41.95,267.3,215.1,4.6,108.8,106.5,131,48,56,59.54,6
41.99,267.3,214.6,4.8,108.8,106.3,132.5,48,56,59.54,6
50.14,269.5,214.4,2.3,122.2,115.6,139,49,56,55.69,6
45.11,269.5,214.7,2.1,114,109.4,134,48,56,58.1,6
49.77,271.1,214.9,3.4,114.7,110.1,128.5,47,56,59.21,7
47.03,272.6,215.2,6.2,114.5,110.3,131.5,54.93,56,59.17,7
50.22,265.5,214.5,7.1,117.4,113.3,138,57,56,59.5,7
50.76,265.9,212.4,2.5,115.3,110.5,135.5,47,56,59.33,7
41.87,272.3,215.5,5.1,116.2,110.7,133,49,56,60.85,7
50.84,271.7,215.4,5.2,123.2,116.4,138,49,56,60.03,7
40.07,268.4,215.2,3,108.2,105.3,127,47,56,58.27,7
52.44,266.7,216,5,113.8,110.3,133.5,56,56,59.09,7
45.39,269,214.8,3,119.9,113.6,136.5,49,56,59.78,7
41.38,270.5,216.8,4.7,113.3,108.8,135,49,56,60.56,7
45.19,271,215.6,2.2,119.5,114,139,49,56,56.1,8
45.56,268.7,214.5,3.3,116,111.6,140.9,49,56,55.65,8
50.47,264.6,216.6,5.6,115.6,110.7,143.4,49,56,55.81,8
51.29,265.5,216.9,3.7,111.1,103.7,141.4,49,56,56.06,8
50.27,267.8,215.2,4.7,113.8,110.9,137,56,56,55.07,8
50.43,267.4,214.8,3.2,114.9,111.1,138,47,56,55.36,8
50.68,266.2,214.1,2.4,116.2,111.3,135,47,56,55.52,8
40.23,269,215.4,5.4,112.2,109.8,132.5,57,56,58.35,8
44.78,270.2,213.5,2.9,109.2,107.1,129.5,47,56,55.16,8
39.46,270.3,214.7,4.2,108.8,106.5,132.5,48,56,56.02,8
