Supply Air Temperature,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Return Air Fan Speed Control Signal,Exhaust Air Damper Control Signal  ,Outdoor Air Damper Control Signal  ,Return Air Damper Control Signal,Cooling Coil Valve Control Signal,Supply Air Duct Static Pressure ,Y
54.83,90.4,75.77,72.08,0.73,0.58,0.4,0.4,0.6,0.57,1.41,1
54.93,75.42,72.8,71.87,0.65,0.52,0.4,0.4,0.6,0.38,1.39,1
55.15,89.83,75.77,72.08,0.75,0.6,0.4,0.4,0.6,0.62,1.41,1
54.61,75.57,72.8,71.76,0.66,0.53,0.4,0.4,0.6,0.37,1.33,1
54.83,91.47,76.2,72.29,0.74,0.59,0.4,0.4,0.6,0.61,1.42,1
54.72,76.42,73.01,71.76,0.67,0.53,0.4,0.4,0.6,0.3,1.38,1
55.15,90.59,75.77,72.18,0.73,0.59,0.4,0.4,0.6,0.53,1.38,1
52.46,89.68,74.82,71.02,0.73,0.59,0.4,0.4,0.6,0.87,1.57,1
55.04,89.47,75.67,71.87,0.75,0.6,0.4,0.4,0.6,0.62,1.39,1
55.04,91.45,75.98,72.08,0.74,0.59,0.4,0.4,0.6,0.61,1.4,1
54.61,74.81,73.97,73.02,0.72,0.58,0.4,0.4,0.6,0.51,1.38,2
54.39,73.61,73.76,72.81,0.74,0.59,0.4,0.4,0.6,0.67,1.43,2
54.5,74.71,73.86,72.92,0.73,0.59,0.4,0.4,0.6,0.53,1.41,2
55.04,75.27,73.86,72.71,0.73,0.59,0.4,0.4,0.6,0.52,1.38,2
56.12,66.92,71.85,71.13,0.61,0.49,0.4,0.4,0.6,0.29,1.35,2
55.04,67.18,71.85,71.24,0.61,0.49,0.4,0.4,0.6,0.27,1.41,2
56.01,66.79,71.85,71.02,0.61,0.49,0.4,0.4,0.6,0.26,1.44,2
54.61,66.77,71.74,70.92,0.61,0.49,0.4,0.4,0.6,0.16,1.37,2
54.5,74.66,73.54,72.6,0.73,0.59,0.4,0.4,0.6,0.52,1.43,2
54.93,73.32,72.59,71.55,0.67,0.54,0.4,0.4,0.6,0.35,1.39,2
55.36,67.34,71.95,73.86,0.71,0.57,0.4,0.4,0.6,0.53,1.36,3
55.26,80.18,74.92,73.34,0.8,0.64,0.4,0.4,0.6,0.87,1.41,3
55.15,76.45,74.18,73.13,0.77,0.62,0.4,0.4,0.6,0.76,1.38,3
54.61,77.21,74.39,73.13,0.77,0.61,0.4,0.4,0.6,0.66,1.43,3
55.26,79.29,74.6,73.13,0.77,0.62,0.4,0.4,0.6,0.62,1.36,3
55.04,78.89,74.6,73.23,0.79,0.64,0.4,0.4,0.6,0.87,1.39,3
55.04,70.77,73.23,73.55,0.75,0.6,0.4,0.4,0.6,0.65,1.38,3
55.79,64.12,64.84,74.7,0.69,0.55,1,1,0,0.41,1.43,3
55.15,72.57,73.01,72.81,0.78,0.63,0.4,0.4,0.6,0.72,1.41,3
55.26,78.54,74.6,73.13,0.8,0.64,0.4,0.4,0.6,0.88,1.38,3
55.36,77.75,74.71,73.86,0.66,0.53,0.4,0.4,0.4,0.38,1.39,4
54.39,82.72,73.54,70.6,0.73,0.59,0.4,0.4,0.4,0.5,1.62,4
55.47,58.45,61.77,69.76,0.62,0.5,1,1,1,0.18,1.31,4
54.29,59.02,62.72,70.18,0.64,0.51,1,1,1,0.28,1.42,4
55.04,76.95,70.57,70.29,0.61,0.49,0.4,0.4,0.4,0.19,1.43,4
54.39,64.31,64.95,74.49,0.68,0.55,1,1,1,0.2,1.39,4
55.26,77.66,74.71,72.92,0.8,0.64,0.4,0.4,0.4,0.55,1.38,4
55.36,85.3,75.67,72.92,0.77,0.61,0.4,0.4,0.4,0.5,1.38,4
55.15,77.86,74.5,73.13,0.78,0.62,0.4,0.4,0.4,0.53,1.38,4
55.26,78.21,74.6,73.02,0.77,0.62,0.4,0.4,0.4,0.5,1.38,4
